ICPSRSummer2021-s087,Introduction to Computing,Lecture
ICPSRSummer2021-s090,Introduction to Python,Lecture
ICPSRSummer2021-s088,Introduction to the LaTeX Text Processing System,Lecture
ICPSRSummer2021-s066,Introduction to the R Statistical Computing Environment,Lecture
ICPSRSummer2021-s089,Introductory/Review Lectures on Matrix Algebra,Lecture
ICPSRSummer2021-s070,Bayesian Modeling for the Social Sciences II,Workshop
ICPSRSummer2021-s071,Categorical Data Analysis,Workshop
ICPSRSummer2021-s072,Causal Inference for the Social Sciences,Workshop
ICPSRSummer2021-s073,Data Science and Text Analysis,Workshop
ICPSRSummer2021-s074,Game Theory,Workshop
ICPSRSummer2021-s075,Maximum Likelihood Estimation II,Workshop
ICPSRSummer2021-s076,Multilevel Models II,Workshop
ICPSRSummer2021-s077,Network Analysis II,Workshop
ICPSRSummer2021-s078,Panel Data & Longitudinal Analysis,Workshop
ICPSRSummer2021-s079,"Race, Ethnicity, and Quantitative Methodology II",Workshop
ICPSRSummer2021-s080,Regression Analysis II: Linear Models,Workshop
ICPSRSummer2021-s081,Simultaneous Equation Models,Workshop
ICPSRSummer2021-s082,Social Choice Theory,Workshop
ICPSRSummer2021-s083,Statistics and Data Analysis II: The Basics of Regression,Workshop
ICPSRSummer2021-s084,Structural Equation Models with Latent Variables,Workshop
ICPSRSummer2021-s085,Time Series Analysis II: Advanced Topics,Workshop
